,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
276,petropavlovsk-kamchatskiy,40,RU,1575507990,78,53.05,158.65,12.2,4.47
277,kaohsiung,75,TW,1575507990,77,22.62,120.31,62.6,6.93
278,sao joao del rei,78,BR,1575507895,97,-21.14,-44.26,65.44,3.91
279,clyde river,90,CA,1575507990,76,70.47,-68.59,-9.4,9.17
280,oktyabrskiy,75,RU,1575507990,86,55.61,37.97,33.8,6.71
281,payakumbuh,64,ID,1575507990,98,-0.23,100.63,67.86,2.71
282,yerofey pavlovich,0,RU,1575507990,88,53.97,121.97,-20.63,4.12
283,manokwari,89,ID,1575507891,62,-0.87,134.08,80.56,3.24
284,urengoy,90,RU,1575507991,96,65.96,78.37,1.67,7.74
285,constitucion,5,MX,1575507991,13,23.99,-104.67,68.0,4.7
286,nuuk,49,GL,1575507991,67,64.17,-51.74,17.6,13.87
287,hastings,1,NZ,1575507780,56,-39.64,176.84,70.75,9.8
288,broome,0,GB,1575507991,90,52.47,1.45,36.0,6.93
289,abu zabad,0,SD,1575507991,27,12.35,29.25,67.06,13.71
290,malinyi,52,TZ,1575507992,85,-8.94,36.14,73.15,1.54
291,marystown,80,CA,1575507992,100,47.17,-55.16,41.0,3.0
292,guerrero negro,100,MX,1575507992,42,27.97,-114.04,72.09,3.44
293,staryy nadym,100,RU,1575507992,94,65.61,72.68,6.15,11.43
294,lompoc,90,US,1575507992,87,34.64,-120.46,60.8,6.93
295,pandan,100,PH,1575507993,78,11.72,122.09,80.85,4.0
296,monrovia,20,LR,1575507993,94,6.33,-10.8,78.8,8.39
297,sinop,100,TR,1575507993,66,42.03,35.15,44.55,9.28
298,ribeira grande,89,PT,1575507993,72,38.52,-28.7,58.93,2.37
299,ornskoldsvik,78,SE,1575507993,81,63.29,18.72,32.0,5.82
300,najran,20,SA,1575507994,58,17.54,44.22,55.4,1.45
301,elko,90,US,1575507854,86,40.83,-115.76,37.4,3.36
302,gardez,20,AF,1575507994,92,33.6,69.22,28.4,2.24
303,vadso,90,NO,1575507994,92,70.07,29.75,28.4,12.75
304,lumeje,100,AO,1575507994,93,-11.56,20.78,67.6,4.07
305,south lake tahoe,75,US,1575507890,98,38.93,-119.98,37.4,3.06
306,fortuna,90,US,1575507994,100,40.6,-124.16,54.0,8.05
307,itoman,75,JP,1575507995,72,26.12,127.67,62.6,11.41
308,san gabriel,90,US,1575507760,87,34.1,-118.11,62.6,5.82
309,okha,100,RU,1575507995,84,53.59,142.95,14.72,27.25
310,son la,8,VN,1575507933,77,21.32,103.9,46.38,0.92
311,sobolevo,100,RU,1575507995,95,54.43,31.9,36.16,10.38
312,pisco,1,PE,1575507995,83,-13.71,-76.2,69.8,16.11
313,timizart,31,DZ,1575507995,64,36.8,4.25,60.78,14.23
314,berdigestyakh,100,RU,1575507948,99,62.1,126.7,-21.26,3.18
315,ahipara,10,NZ,1575507995,86,-35.17,173.16,66.29,8.46
316,debre birhan,57,ET,1575507995,96,9.68,39.53,48.85,4.25
317,provost,100,CA,1575507995,91,52.35,-110.26,22.8,4.59
318,leshan,84,CN,1575507995,72,29.56,103.76,46.06,3.36
319,thompson,90,CA,1575507781,85,55.74,-97.86,14.0,6.93
320,nanortalik,100,GL,1575507996,37,60.14,-45.24,24.71,8.08
321,lebyazhye,90,RU,1575507996,93,59.96,29.42,39.99,13.42
322,norman wells,40,CA,1575507996,74,65.28,-126.83,-25.6,4.7
323,saint-francois,14,FR,1575507996,92,46.42,3.91,28.4,1.97
324,aykhal,87,RU,1575507996,57,65.95,111.51,-41.8,4.47
325,ovre ardal,100,NO,1575507997,98,61.32,7.8,25.39,11.56
326,san pedro,34,AR,1575507997,38,-33.68,-59.66,59.0,1.99
327,bethel,1,US,1575507998,84,60.79,-161.76,5.0,4.7
328,tura,73,RU,1575508000,90,64.27,100.22,-9.47,5.28
329,ostrozska nova ves,1,CZ,1575508002,86,49.0,17.44,30.0,8.05
330,stropkov,90,SK,1575508002,100,49.2,21.65,27.0,4.7
331,mahebourg,20,MU,1575508002,88,-20.41,57.7,75.0,3.36
332,pathein,75,MM,1575508003,82,16.78,94.73,71.91,9.1
333,portland,90,US,1575508003,86,43.66,-70.25,30.99,13.85
334,rio grande,85,BR,1575507853,85,-32.03,-52.1,70.18,1.36
335,merauke,53,ID,1575508003,49,-8.49,140.4,94.19,0.98
336,sorland,100,NO,1575508003,73,67.67,12.69,43.88,43.53
337,gorele,75,TR,1575508003,70,41.03,39.0,46.4,9.17
338,nikolayevka,0,RU,1575508003,68,46.73,38.57,30.61,5.82
339,lorengau,51,PG,1575508003,72,-2.02,147.27,83.57,3.71
340,pak phanang,75,TH,1575508003,100,8.35,100.2,73.4,6.53
341,ondo,95,NG,1575508003,88,7.1,4.83,75.45,0.94
342,fuerte olimpo,71,BR,1575508003,53,-21.04,-57.87,86.81,10.27
343,safranbolu,100,TR,1575507731,96,41.25,32.69,31.32,3.44
344,san juan,3,AR,1575508004,24,-31.54,-68.53,70.0,7.7
345,tessalit,26,ML,1575508004,25,20.2,1.01,66.74,8.61
346,marrakesh,75,MA,1575508004,87,31.63,-7.99,53.6,2.24
347,sola,100,TZ,1575508004,95,-3.17,33.8,64.67,2.91
348,khorramshahr,0,IR,1575508004,87,30.43,48.18,57.2,2.24
349,san ignacio,82,PE,1575508004,95,-5.15,-79.0,63.82,1.57
350,maltahohe,100,NA,1575508005,57,-24.83,16.98,63.79,7.36
351,mango,78,CF,1575508005,77,4.65,22.36,68.54,0.51
352,meulaboh,67,ID,1575508005,83,4.14,96.13,80.24,8.1
353,matagami,2,NG,1575508005,47,9.67,8.4,69.62,3.49
354,takoradi,15,GH,1575508005,85,4.89,-1.75,80.71,8.61
355,meridian,81,US,1575507957,100,43.61,-116.39,39.2,5.66
356,saint-augustin,90,CA,1575508005,99,45.63,-73.98,33.01,4.7
357,rocha,83,UY,1575507926,86,-34.48,-54.34,58.32,4.16
358,eregli,100,TR,1575508006,93,37.51,34.05,36.9,8.84
359,adrar,0,DZ,1575508006,40,27.87,-0.29,53.6,9.17
360,urucui,66,BR,1575508006,78,-7.23,-44.56,75.72,1.39
361,hamilton,90,CA,1575508006,90,43.26,-79.87,37.4,10.29
362,ambon,90,FR,1575508006,84,47.55,-2.56,35.01,8.05
363,petauke,39,ZM,1575508006,75,-14.25,31.33,68.86,9.28
364,moree,0,AU,1575508006,11,-29.46,149.84,86.0,14.99
365,manavalakurichi,75,IN,1575508007,94,8.13,77.3,78.8,31.94
366,chapais,90,CA,1575508007,92,49.78,-74.86,23.0,3.36
367,dwarka,20,IN,1575508007,87,28.58,77.04,66.99,1.12
368,kendari,100,ID,1575508007,73,-3.99,122.52,83.82,3.94
369,shelburne,90,CA,1575508007,89,44.08,-80.2,35.01,3.36
370,marawi,97,PH,1575508007,73,8.0,124.29,84.0,4.0
371,columbus,1,US,1575507868,50,32.46,-84.99,53.6,3.36
372,staszow,0,PL,1575508007,75,50.56,21.17,28.99,4.0
373,domna,10,RU,1575508008,67,51.9,113.16,-27.4,2.24
374,ibaiti,74,BR,1575508008,99,-23.85,-50.19,71.01,4.0
375,marzuq,3,YE,1575508008,43,14.4,46.47,54.45,2.17
376,nikolskoye,90,RU,1575508008,93,59.7,30.79,39.99,13.42
377,tupancireta,80,BR,1575508008,63,-29.08,-53.84,71.02,14.38
378,hirara,75,JP,1575508008,88,24.8,125.28,64.4,19.46
379,caravelas,100,BR,1575508009,98,-17.73,-39.27,73.0,3.98
380,pitimbu,83,BR,1575508009,83,-7.47,-34.81,77.0,3.36
381,baraboo,1,US,1575508009,74,43.47,-89.74,35.6,12.15
382,chipinge,93,ZW,1575508009,90,-20.19,32.62,63.46,7.27
383,owensboro,1,US,1575508009,70,37.77,-87.11,46.4,4.7
384,perisani,0,RO,1575508010,92,45.38,24.4,21.2,2.24
385,acas,87,PE,1575508010,83,-10.46,-77.33,59.32,1.95
386,atar,0,MR,1575508010,40,20.52,-13.05,61.47,6.46
387,cabedelo,85,BR,1575508013,83,-6.97,-34.84,77.0,3.36
388,ahuimanu,75,US,1575508014,65,21.44,-157.84,82.4,9.17
389,awjilah,100,LY,1575508014,46,29.14,21.3,60.91,7.02
390,mount gambier,90,AU,1575508014,82,-37.83,140.78,59.0,16.11
391,mingshui,0,CN,1575508014,47,22.81,109.89,48.69,5.44
392,saint-denis,90,FR,1575508014,100,48.94,2.36,32.0,2.24
393,bonthe,2,SL,1575508014,82,7.53,-12.5,79.7,6.71
394,manaus,40,BR,1575508014,70,-3.13,-59.98,86.0,8.05
395,alofi,40,NU,1575508014,74,-19.06,-169.92,82.4,6.93
396,beaupre,90,CA,1575508014,73,47.04,-70.9,27.0,3.36
397,hay river,40,CA,1575508015,76,60.82,-115.79,-4.0,4.7
398,wanlaweyn,35,SO,1575508015,86,2.62,44.89,76.42,4.38
399,forio,100,IT,1575508015,61,40.73,13.86,55.4,8.05
400,redmond,90,US,1575507931,93,47.67,-122.12,48.2,9.17
401,pailitas,57,CO,1575508015,97,8.96,-73.63,70.92,2.33
402,maceio,40,BR,1575508015,88,-9.67,-35.74,75.2,4.7
403,avera,1,US,1575508016,35,33.19,-82.53,55.4,6.93
404,saskylakh,7,RU,1575508016,98,71.97,114.09,-39.84,3.44
405,prieska,48,ZA,1575508016,30,-29.67,22.74,59.59,15.5
406,zolotkovo,99,RU,1575508016,95,55.53,41.1,27.81,8.72
407,kirishi,95,RU,1575508016,93,59.45,32.01,37.06,8.79
408,vestmannaeyjar,100,IS,1575508016,59,63.44,-20.27,40.1,39.55
409,ylivieska,80,FI,1575508016,95,64.07,24.53,37.0,3.0
410,kununurra,100,AU,1575508016,44,-15.77,128.74,95.0,4.7
411,tondano,20,ID,1575508016,70,1.3,124.91,84.2,2.24
412,geraldton,90,CA,1575508017,78,49.72,-86.95,14.0,9.17
413,los llanos de aridane,75,ES,1575508017,77,28.66,-17.92,64.4,23.04
414,horconcitos,17,PA,1575508017,87,8.47,-81.8,70.45,5.46
415,clemencia,40,CO,1575508017,88,10.57,-75.33,82.4,9.17
416,birjand,0,IR,1575508017,56,32.86,59.22,41.0,9.17
417,camacha,40,PT,1575508017,67,33.08,-16.33,62.6,25.28
418,huanren,0,CN,1575508017,78,41.26,125.37,-15.03,3.06
419,shenjiamen,55,CN,1575508017,60,29.96,122.3,55.94,15.73
420,poum,0,MK,1575508017,87,41.28,20.71,25.2,6.11
421,rundu,85,NA,1575508017,88,-17.91,19.77,71.6,1.12
422,eyl,100,SO,1575508017,66,7.98,49.82,79.86,16.55
423,gewane,93,ET,1575508018,47,10.16,40.66,78.96,1.07
424,amparafaravola,9,MG,1575508018,93,-17.68,48.22,63.1,3.02
425,tyukhtet,0,RU,1575508018,95,56.54,89.31,9.25,6.89
426,barda,100,RU,1575508019,95,56.93,55.59,10.94,4.97
427,niksar,100,TR,1575508019,96,40.59,36.95,33.33,5.46
428,kaspiyskiy,0,RU,1575508019,76,45.39,47.37,28.17,9.86
429,piacabucu,61,BR,1575508019,82,-10.41,-36.43,77.97,8.21
430,ujiie,20,JP,1575508019,56,36.68,139.97,46.4,4.7
431,qaqortoq,100,GL,1575508020,33,60.72,-46.03,15.8,5.82
432,trinidad,66,BO,1575507781,87,-14.83,-64.9,76.46,3.38
433,newton,88,US,1575508020,93,42.34,-71.21,36.0,9.17
434,sangar,100,RU,1575508020,94,63.92,127.47,-32.71,11.07
435,bontang,100,ID,1575508020,86,0.12,117.47,78.22,6.73
436,puerto carreno,5,CO,1575508020,70,6.19,-67.49,84.2,6.93
437,cap malheureux,20,MU,1575508021,88,-19.98,57.61,75.0,3.36
438,sao miguel do araguaia,99,BR,1575508021,90,-13.28,-50.16,75.29,3.6
439,rio gallegos,40,AR,1575508021,35,-51.62,-69.22,57.2,31.09
440,iqaluit,75,CA,1575508021,72,63.75,-68.52,14.0,9.17
441,mandal,12,MN,1575508021,72,48.82,106.5,3.97,3.58
442,zhigansk,100,RU,1575508021,95,66.77,123.37,-29.52,4.74
443,guangyuan,69,CN,1575508021,65,32.43,105.86,42.01,1.97
444,pachino,89,IT,1575507814,67,36.72,15.09,60.01,6.93
445,sinnamary,53,GF,1575508022,80,5.38,-52.96,80.69,16.15
446,bull savanna,21,JM,1575508022,93,17.89,-77.59,70.77,2.48
447,norwich,0,GB,1575508022,90,52.63,1.29,35.01,6.93
448,anadyr,40,RU,1575508022,78,64.73,177.51,15.8,29.08
449,kirkwall,97,GB,1575508022,81,58.98,-2.96,46.0,21.92
450,hosur,75,IN,1575508022,100,12.73,77.83,66.2,6.93
451,wamba,50,CD,1575508022,97,2.14,27.99,66.45,1.81
452,sambava,93,MG,1575508022,97,-14.27,50.17,69.39,2.86
453,mehamn,100,NO,1575508022,92,71.03,27.85,34.36,15.1
454,dobson,18,NZ,1575508023,58,-42.45,171.31,61.12,11.01
455,arman,100,RU,1575508023,68,59.7,150.17,8.44,22.39
456,suntar,100,RU,1575508023,98,62.16,117.65,-3.19,3.83
457,yichang,100,CN,1575508023,50,30.77,111.32,45.16,3.18
458,huilong,100,CN,1575508023,83,31.15,106.5,46.49,0.83
459,iraquara,47,BR,1575508023,58,-12.24,-41.62,71.82,5.53
460,mollendo,79,PE,1575508023,83,-17.03,-72.02,62.82,4.68
461,namatanai,32,PG,1575508024,69,-3.66,152.44,84.49,2.75
462,parabel,100,RU,1575508024,95,58.71,81.5,9.86,7.83
463,lexington,1,US,1575507781,52,38.05,-84.5,48.2,13.87
464,alugan,68,PH,1575508024,81,12.22,125.48,82.35,4.0
465,boende,93,CD,1575508024,92,-0.28,20.88,70.56,2.33
466,sur,66,OM,1575508024,67,22.57,59.53,70.41,8.95
467,taman,40,RU,1575508024,100,45.22,36.72,26.6,2.24
468,xunchang,100,CN,1575508024,79,28.45,104.71,44.8,3.13
469,synya,100,RU,1575508024,93,65.37,58.04,12.11,5.66
470,pangnirtung,52,CA,1575508024,82,66.15,-65.72,-6.48,5.32
471,santa marinella,100,IT,1575508024,70,42.04,11.87,46.99,8.05
472,kralendijk,40,BQ,1575508024,78,12.15,-68.27,82.4,17.22
473,kerema,60,PG,1575508025,54,-7.96,145.78,89.85,5.37
474,sarkand,86,KZ,1575508025,46,45.41,79.91,38.75,2.89
475,zaragoza,61,SV,1575508025,83,13.59,-89.29,78.8,8.05
476,havelock,1,US,1575508025,68,34.88,-76.9,51.8,9.17
477,muroto,75,JP,1575508025,75,33.37,134.14,42.8,4.7
478,teahupoo,20,PF,1575508025,62,-17.83,-149.27,87.8,11.41
479,sendafa,45,ET,1575508026,95,9.16,39.02,49.87,1.61
480,tepalcingo,40,MX,1575508026,56,18.6,-98.85,75.0,0.67
481,kutum,0,SD,1575508026,26,14.2,24.66,58.19,4.97
482,sernur,98,RU,1575508026,95,56.93,49.15,19.9,8.5
483,ranong,40,TH,1575508026,69,9.96,98.62,78.8,8.05
484,oyama,20,JP,1575508026,56,36.31,139.8,51.01,4.7
485,kapit,98,MY,1575508026,97,2.02,112.94,74.5,1.23
486,lucapa,100,AO,1575508026,99,-8.42,20.74,66.61,2.53
487,pevek,0,RU,1575508026,86,69.7,170.27,-2.16,2.37
488,porto novo,40,BR,1575508027,83,-23.68,-45.44,71.6,1.12
489,mayya,75,RU,1575508027,65,61.74,130.28,-36.4,4.47
490,puri,72,ID,1575508027,69,-7.54,112.45,81.77,2.51
491,pombas,90,BR,1575508027,79,-15.9,-54.74,75.65,2.77
492,kudahuvadhoo,100,MV,1575508027,80,2.67,72.89,81.68,14.63
493,ofunato,90,JP,1575508027,92,39.11,141.75,30.2,9.17
494,jesus maria,65,CL,1575508027,38,-20.49,-69.32,63.86,4.5
495,hachinohe,40,JP,1575508027,92,40.47,141.48,28.4,17.22
496,bisira,43,PA,1575508027,93,8.52,-81.71,66.7,7.9
497,marfino,90,RU,1575508028,100,56.07,37.56,33.8,11.18
498,kawalu,99,ID,1575508028,86,-7.38,108.21,73.47,1.45
499,trincomalee,97,LK,1575508028,97,8.58,81.23,73.76,2.68
500,copiapo,40,CL,1575508028,72,-27.37,-70.33,60.8,3.36
501,lakes entrance,0,AU,1575508028,68,-37.88,147.99,59.97,10.74
502,waingapu,93,ID,1575508028,74,-9.65,120.26,84.92,9.44
503,grand gaube,20,MU,1575508028,88,-20.01,57.66,75.0,3.36
504,houma,48,CN,1575508028,42,35.63,111.36,30.63,1.97
505,carbondale,1,US,1575508029,75,38.82,-95.69,46.4,4.7
506,halifax,40,CA,1575507821,92,44.65,-63.58,33.01,8.05
507,bella union,58,CO,1575508029,95,8.5,-73.35,68.45,3.44
508,samarai,62,PG,1575508029,73,-10.62,150.67,82.76,6.38
509,nizwa,0,OM,1575508029,67,22.93,57.53,60.73,3.91
510,baykit,50,RU,1575508029,97,61.68,96.39,-6.66,2.42
511,campoverde,75,EC,1575508029,76,-0.91,-78.62,53.6,4.7
512,san cristobal,96,HN,1575508030,82,14.68,-86.92,66.76,2.26
513,bagepalli,75,IN,1575508030,100,13.78,77.8,64.4,9.17
514,derzhavinsk,100,KZ,1575508030,94,51.1,66.31,27.43,11.54
515,te anau,100,NZ,1575508030,84,-45.41,167.72,45.7,7.87
516,benavente,43,ES,1575508030,80,42.0,-5.67,35.6,4.7
517,richards bay,100,ZA,1575508031,65,-28.77,32.06,69.33,15.7
518,sitka,80,US,1575508031,52,37.17,-99.65,50.0,11.77
519,iranshahr,0,IR,1575508031,47,27.21,60.69,57.2,9.17
520,comodoro rivadavia,84,AR,1575508031,46,-45.87,-67.48,69.8,6.93
521,luau,100,CD,1575508031,97,-10.7,22.23,65.3,3.51
522,belaya gora,100,RU,1575508035,98,68.54,146.19,-21.57,3.87
523,kiunga,10,PG,1575508035,65,-6.12,141.3,87.96,1.12
524,russell,1,US,1575507976,44,38.9,-98.86,48.2,8.05
525,qasigiannguit,17,GL,1575508035,72,68.82,-51.19,10.4,18.34
526,anqing,0,CN,1575508035,49,30.51,117.04,44.89,5.41
527,leshukonskoye,85,RU,1575508035,98,64.9,45.76,7.65,3.42
528,muli,100,CN,1575508035,74,28.08,109.56,46.02,2.53
529,genhe,0,CN,1575508035,96,50.78,121.52,-23.69,3.31
530,gizo,40,IL,1575508035,77,31.8,34.94,59.0,4.7
531,coahuayana,0,MX,1575508035,58,18.62,-100.35,77.83,0.29
532,nyurba,100,RU,1575508036,94,63.29,118.35,-18.13,5.61
533,ciudad ojeda,18,VE,1575508036,72,10.22,-71.33,86.18,17.72
534,kirakira,97,SB,1575508036,70,-10.46,161.92,84.87,9.57
535,kasempa,80,ZM,1575508036,92,-13.46,25.83,62.76,1.99
536,ovalle,0,CL,1575508036,54,-30.6,-71.2,55.9,2.86
537,sungaipenuh,96,ID,1575508036,97,-2.08,101.38,64.02,2.28
538,briancon,41,FR,1575508036,83,44.9,6.65,35.01,5.01
539,karasburg,53,NA,1575508036,13,-28.01,18.75,65.3,6.64
540,zabaykalsk,0,CN,1575508036,80,49.64,117.33,-17.12,6.6
541,dongning,7,CN,1575508037,67,44.06,131.12,-0.87,9.6
542,niltepec,17,MX,1575508037,57,16.57,-94.62,79.65,4.92
543,potosi,59,BO,1575508037,76,-19.59,-65.75,52.7,9.66
544,pokhara,9,NP,1575508037,75,28.21,83.99,50.11,2.08
545,luderitz,0,NA,1575508038,72,-26.65,15.16,62.6,3.36
546,westport,75,US,1575508039,74,41.14,-73.36,39.99,5.82
547,dubbo,0,AU,1575508039,19,-32.25,148.6,84.2,11.41
548,afyonkarahisar,99,TR,1575508039,91,38.76,30.53,33.94,7.31
549,pahrump,90,US,1575507978,93,36.21,-115.98,48.99,6.2
550,waipawa,18,NZ,1575508039,56,-39.94,176.59,71.01,8.01
551,pingliang,66,CN,1575508039,48,35.54,106.68,23.43,2.39
552,sarai,0,IN,1575508039,100,25.78,85.28,50.0,4.05
553,haselunne,0,DE,1575508039,100,52.67,7.48,33.01,1.12
